,Element,E_ref_0,E_ref_6,E_ref_9,E_ref_10,E_coh_MP,orbital_radius,Mendeleev_P84,Mendeleev_P88,Mendeleev_V04,Vol_perAtom_MatProj,E_coh_Kittel,atom_number,atom_weight,metling_Temperature,atom_column,atom_row,Electronegativity_Pauling,N_elctrons_sVal,N_elctrons_pVal,N_elctrons_dVal,N_elctrons_Val,Vol_perAtom_MatMiner
52,I,,,,,1.334955135,1.044,2.56,97,96,51.71684418447793,1.11,53.0,126.90447,386.85,17.0,5.0,2.66,2.0,5.0,10.0,17.0,43.015
53,Xe,,,,,0.0263340499999999,0.986,,5,102,85.78650724921306,0.16,54.0,131.293,161.3,18.0,5.0,2.6,2.0,6.0,10.0,18.0,53.65
54,Cs,,,,,0.71847234,2.518,0.25,8,5,123.10401593422476,0.804,55.0,132.9054519,301.59,1.0,6.0,0.79,1.0,0.0,0.0,1.0,115.765
55,Ba,,,,,1.88503776,2.06,0.5,14,9,64.99909048758406,1.9,56.0,137.327,1000.0,2.0,6.0,0.89,2.0,0.0,0.0,2.0,63.59
56,La,0.0061904499999627,0.0951342900000327,-1.5002585199999885,-2.5710596599999462,4.261388255,1.915,0.748,33,13,37.572158946375566,4.47,57.0,138.90547,1193.0,3.0,6.0,1.1,2.0,0.0,1.0,3.0,36.8975
57,Ce,,,,,4.748219049999999,1.978,0.746,32,15,25.501645004043755,4.32,58.0,140.116,1071.0,3.0,6.0,1.12,2.0,0.0,1.0,4.0,37.24
58,Pr,,,,,4.5783494000000005,1.942,0.744,31,17,37.281322079739454,3.7,59.0,140.90765,1204.0,3.0,6.0,1.13,2.0,0.0,0.0,5.0,35.675
59,Nd,,,,,4.56647588,1.912,0.742,30,19,35.46125938744741,3.4,60.0,144.242,1294.0,3.0,6.0,1.14,2.0,0.0,0.0,6.0,34.81
60,Pm,,,,,4.5445048925,1.882,0.74,29,21,34.52341053845748,,61.0,145.0,1373.0,3.0,6.0,1.155,2.0,0.0,0.0,7.0,33.8425
61,Sm,,,,,4.43829645,1.854,0.738,28,23,33.80194237233158,2.14,62.0,150.36,1345.0,3.0,6.0,1.17,2.0,0.0,0.0,8.0,33.23
62,Eu,,,,,1.8809421949999996,1.826,0.736,18,25,44.06303669236204,1.86,63.0,151.964,1095.0,3.0,6.0,1.185,2.0,0.0,0.0,9.0,36.46
63,Gd,,,,,3.80332615,1.713,0.734,27,27,33.89555135352486,4.14,64.0,157.25,1586.0,3.0,6.0,1.2,2.0,0.0,1.0,10.0,32.05
64,Tb,,,,,4.368914794999999,1.775,0.732,26,29,32.71278409899747,4.05,65.0,158.92535,1629.0,3.0,6.0,1.21,2.0,0.0,0.0,11.0,31.7366666667
65,Dy,,,,,4.341020690000001,1.75,0.73,24,31,32.00431174016688,3.04,66.0,162.5,1685.0,3.0,6.0,1.22,2.0,0.0,0.0,12.0,31.24
66,Ho,,,,,4.316143825,1.727,0.728,23,33,31.36464775588645,3.14,67.0,164.93032,1747.0,3.0,6.0,1.23,2.0,0.0,0.0,13.0,30.7333333333
67,Er,,,,,4.28487084,1.703,0.726,22,35,30.888404534859337,3.29,68.0,167.259,1770.0,3.0,6.0,1.24,2.0,0.0,0.0,14.0,30.585
68,Tm,,,,,4.216418555,1.681,0.724,21,37,30.19899786242444,2.54,69.0,168.93421,1818.0,3.0,6.0,1.25,2.0,0.0,0.0,15.0,29.78
69,Yb,,,,,,1.658,0.722,17,39,,1.6,70.0,173.054,1092.0,3.0,6.0,1.26,2.0,0.0,0.0,16.0,34.12
70,Lu,-0.0155956800000467,0.0958575799999152,0.3149074099999325,-1.3600675400000457,4.255489743333333,1.553,0.72,20,41,29.688844551078528,4.43,71.0,174.9668,1936.0,3.0,6.0,1.27,2.0,0.0,1.0,17.0,28.865
71,Hf,-0.0142798900000116,0.1124515000000201,0.6612873099999206,-0.7552460399999745,6.771410039999999,1.476,0.775,50,48,22.26362174740903,6.44,72.0,178.49,2506.0,4.0,6.0,1.3,2.0,0.0,2.0,18.0,22.2
72,Ta,-0.0030340399999886,0.0923510800000713,0.5002997400000595,-0.2094864399999778,8.425708570666668,1.413,0.83,52,48,18.47902812339772,8.1,73.0,180.94788,3290.0,5.0,6.0,1.5,2.0,0.0,3.0,19.0,18.12
73,W,0.0,0.0,0.0,0.0,8.301059030000001,1.36,0.885,55,51,15.932263521447116,8.9,74.0,183.84,3695.0,6.0,6.0,2.36,2.0,0.0,4.0,20.0,16.05
74,Re,-0.0105779399999619,-0.1052519300000085,-0.700500869999928,-0.3272693399999298,7.7416016375,1.31,0.94,58,54,14.810782651369989,8.03,75.0,186.207,3459.0,7.0,6.0,1.9,2.0,0.0,5.0,21.0,14.655
75,Os,-0.0122497400000156,-0.1485042699999894,-1.3578966400000354,-0.8359054800000649,8.329773560000001,1.266,0.995,63,57,14.127400269263507,8.17,76.0,190.23,3306.0,8.0,6.0,2.2,2.0,0.0,6.0,22.0,14.09
76,Ir,-0.0031869900000174,-0.1467731899999762,-1.8720480099999577,-1.2503137400000242,7.21524364,1.227,1.05,66,60,14.310382775109328,6.94,77.0,192.217,2739.0,9.0,6.0,2.2,2.0,0.0,7.0,23.0,14.21
77,Pt,0.0001411999999163,-0.1537516500000038,-1.6423858699999982,-1.2901144900000645,5.5349372,1.221,1.05,68,63,15.327454053856243,5.84,78.0,195.084,2041.4,10.0,6.0,2.28,1.0,0.0,9.0,24.0,15.02
78,Au,-0.0089619499999571,-0.1826239600000008,-1.1286826399999654,-1.1923272799999722,2.98579568,1.187,1.16,70,66,18.14473805188449,3.81,79.0,196.966569,1337.33,11.0,6.0,2.54,1.0,0.0,10.0,25.0,16.7
